city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Krmelín,49.7291,18.2354,Czechia,CZ,Moravskoslezský Kraj,,2365,2365
Dašice,50.0285,15.9125,Czechia,CZ,Pardubický Kraj,,2365,2365
Troubsko,49.1695,16.5108,Czechia,CZ,Jihomoravský Kraj,,2362,2362
Sokolnice,49.1139,16.7216,Czechia,CZ,Jihomoravský Kraj,,2361,2361
Meziměstí,50.6246,16.2422,Czechia,CZ,Královéhradecký Kraj,,2360,2360
Velké Poříčí,50.4618,16.1894,Czechia,CZ,Královéhradecký Kraj,,2355,2355
Kryry,50.1745,13.4267,Czechia,CZ,Ústecký Kraj,,2354,2354
Nechanice,50.2374,15.6328,Czechia,CZ,Královéhradecký Kraj,,2348,2348
Slavonice,48.9976,15.3515,Czechia,CZ,Jihočeský Kraj,,2343,2343
Vikýřovice,49.9779,17.0124,Czechia,CZ,Olomoucký Kraj,,2342,2342
Velká Hleďsebe,49.9616,12.6677,Czechia,CZ,Karlovarský Kraj,,2331,2331
Všetaty,50.2819,14.5931,Czechia,CZ,Středočeský Kraj,,2329,2329
Pozořice,49.2098,16.7908,Czechia,CZ,Jihomoravský Kraj,,2328,2328
Peruc,50.3426,13.9599,Czechia,CZ,Ústecký Kraj,,2326,2326
Janovice nad Úhlavou,49.3453,13.2182,Czechia,CZ,Plzeňský Kraj,,2324,2324
Velké Březno,50.6628,14.1418,Czechia,CZ,Ústecký Kraj,,2322,2322
Mladé Buky,50.6065,15.8336,Czechia,CZ,Královéhradecký Kraj,,2313,2313
Plumlov,49.4662,17.0150,Czechia,CZ,Olomoucký Kraj,,2312,2312
Břasy,49.8371,13.5784,Czechia,CZ,Plzeňský Kraj,,2306,2306
Jince,49.7863,13.9787,Czechia,CZ,Středočeský Kraj,,2301,2301
Lány,50.1248,13.9505,Czechia,CZ,Středočeský Kraj,,2291,2291
Nučice,50.0186,14.2300,Czechia,CZ,Středočeský Kraj,,2288,2288
Studená,49.1852,15.2869,Czechia,CZ,Jihočeský Kraj,,2285,2285
Libiš,50.2742,14.5025,Czechia,CZ,Středočeský Kraj,,2283,2283
Včelná,48.9238,14.4538,Czechia,CZ,Jihočeský Kraj,,2275,2275
Mirošov,49.6879,13.6581,Czechia,CZ,Plzeňský Kraj,,2274,2274
Nová Včelnice,49.2394,15.0726,Czechia,CZ,Jihočeský Kraj,,2269,2269
Veltrusy,50.2705,14.3287,Czechia,CZ,Středočeský Kraj,,2268,2268
Soběšice,49.2539,16.6217,Czechia,CZ,Jihomoravský Kraj,,2265,2265
Zlonice,50.2876,14.0922,Czechia,CZ,Středočeský Kraj,,2258,2258
Hošťálková,49.3547,17.8695,Czechia,CZ,Zlínský Kraj,,2252,2252
Hradišťko,49.8684,14.4094,Czechia,CZ,Středočeský Kraj,,2250,2250
Žlutice,50.0920,13.1630,Czechia,CZ,Karlovarský Kraj,,2249,2249
Solnice,50.2037,16.2377,Czechia,CZ,Královéhradecký Kraj,,2247,2247
Povrly,50.6728,14.1604,Czechia,CZ,Ústecký Kraj,,2242,2242
Horní Jiřetín,50.5732,13.5473,Czechia,CZ,Ústecký Kraj,,2242,2242
Blučina,49.0550,16.6445,Czechia,CZ,Jihomoravský Kraj,,2241,2241
Horní Benešov,49.9668,17.6027,Czechia,CZ,Moravskoslezský Kraj,,2238,2238
Prušánky,48.8284,16.9807,Czechia,CZ,Jihomoravský Kraj,,2235,2235
Luštěnice,50.3230,14.9368,Czechia,CZ,Středočeský Kraj,,2235,2235
Valašská Bystřice,49.4151,18.1098,Czechia,CZ,Zlínský Kraj,,2233,2233
Velim,50.0597,15.1072,Czechia,CZ,Středočeský Kraj,,2232,2232
Kardašova Řečice,49.1848,14.8532,Czechia,CZ,Jihočeský Kraj,,2232,2232
Lednice,48.7999,16.8034,Czechia,CZ,Jihomoravský Kraj,,2230,2230
Sulice,49.9257,14.5567,Czechia,CZ,Středočeský Kraj,,2225,2225
Žebrák,49.8758,13.8974,Czechia,CZ,Středočeský Kraj,,2212,2212
Štěnovice,49.6706,13.3997,Czechia,CZ,Plzeňský Kraj,,2204,2204
Staříč,49.6859,18.2728,Czechia,CZ,Moravskoslezský Kraj,,2201,2201
Rakvice,48.8581,16.8133,Czechia,CZ,Jihomoravský Kraj,,2199,2199
Kvasice,49.2422,17.4698,Czechia,CZ,Zlínský Kraj,,2196,2196
Vacenovice,48.9451,17.1740,Czechia,CZ,Jihomoravský Kraj,,2194,2194
Hovorany,48.9550,16.9935,Czechia,CZ,Jihomoravský Kraj,,2192,2192
Šardice,48.9640,17.0281,Czechia,CZ,Jihomoravský Kraj,,2191,2191
Milín,49.6320,14.0460,Czechia,CZ,Středočeský Kraj,,2191,2191
Černá Hora,49.4136,16.5814,Czechia,CZ,Jihomoravský Kraj,,2190,2190
Sviadnov,49.6892,18.3277,Czechia,CZ,Moravskoslezský Kraj,,2189,2189
Štítná nad Vláří,49.0695,17.9753,Czechia,CZ,Zlínský Kraj,,2186,2186
Kněžmost,50.4892,15.0384,Czechia,CZ,Středočeský Kraj,,2183,2183
Obrnice,50.5051,13.6955,Czechia,CZ,Ústecký Kraj,,2181,2181
Město Touškov,49.7760,13.2511,Czechia,CZ,Plzeňský Kraj,,2180,2180
Vinařice,50.1759,14.0911,Czechia,CZ,Středočeský Kraj,,2170,2170
Novosedlice,50.6564,13.8231,Czechia,CZ,Ústecký Kraj,,2161,2161
Boršice,49.0626,17.3509,Czechia,CZ,Zlínský Kraj,,2159,2159
Rudník,50.5785,15.7374,Czechia,CZ,Královéhradecký Kraj,,2154,2154
Hranice,50.3047,12.1759,Czechia,CZ,Karlovarský Kraj,,2151,2151
Budyně nad Ohří,50.4044,14.1260,Czechia,CZ,Ústecký Kraj,,2139,2139
Náměšť na Hané,49.6021,17.0654,Czechia,CZ,Olomoucký Kraj,,2138,2138
Bánov,48.9880,17.7175,Czechia,CZ,Zlínský Kraj,,2137,2137
Markvartovice,49.9059,18.2361,Czechia,CZ,Moravskoslezský Kraj,,2128,2128
Lhenice,48.9949,14.1498,Czechia,CZ,Jihočeský Kraj,,2127,2127
Hukvaldy,49.6238,18.2219,Czechia,CZ,Moravskoslezský Kraj,,2126,2126
Luby,50.2526,12.4060,Czechia,CZ,Karlovarský Kraj,,2124,2124
Tvrdonice,48.7605,16.9945,Czechia,CZ,Jihomoravský Kraj,,2122,2122
Nižbor,50.0000,14.0024,Czechia,CZ,Středočeský Kraj,,2117,2117
Nelahozeves,50.2616,14.2989,Czechia,CZ,Středočeský Kraj,,2114,2114
Kopidlno,50.3309,15.2704,Czechia,CZ,Královéhradecký Kraj,,2112,2112
Mikulášovice,50.9651,14.3638,Czechia,CZ,Ústecký Kraj,,2111,2111
Stěžery,50.2158,15.7484,Czechia,CZ,Královéhradecký Kraj,,2110,2110
Píšť,49.9786,18.1935,Czechia,CZ,Moravskoslezský Kraj,,2106,2106
Borohrádek,50.0978,16.0933,Czechia,CZ,Královéhradecký Kraj,,2102,2102
Stará Paka,50.5104,15.4945,Czechia,CZ,Královéhradecký Kraj,,2102,2102
Týnec nad Labem,50.0421,15.3584,Czechia,CZ,Středočeský Kraj,,2095,2095
Říčany,49.2150,16.3936,Czechia,CZ,Jihomoravský Kraj,,2093,2093
