city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Senica,48.6806,17.3667,Slovakia,SK,Trnavský,minor,20342,20342
Nové Mesto nad Váhom,48.7833,17.8333,Slovakia,SK,Nitriansky,minor,20066,20066
Snina,48.9881,22.1567,Slovakia,SK,Prešovský,minor,19855,19855
Senec,48.2189,17.3997,Slovakia,SK,Bratislavský,minor,19410,19410
Rožňava,48.6586,20.5314,Slovakia,SK,Košický,minor,19190,19190
Žiar nad Hronom,48.5919,18.8533,Slovakia,SK,Banskobystrický,minor,19188,19188
Dolný Kubín,49.2117,19.2992,Slovakia,SK,Žilinský,minor,18905,18905
Bánovce nad Bebravou,48.7186,18.2581,Slovakia,SK,Nitriansky,minor,18350,18350
Púchov,49.1200,18.3306,Slovakia,SK,Nitriansky,minor,17810,17810
Malacky,48.4381,17.0236,Slovakia,SK,Bratislavský,minor,17430,17430
Handlová,48.7272,18.7619,Slovakia,SK,Nitriansky,,17119,17119
Kežmarok,49.1383,20.4292,Slovakia,SK,Prešovský,minor,16481,16481
Stará Ľubovňa,49.3167,20.6833,Slovakia,SK,Prešovský,minor,16348,16348
Sered’,48.2833,17.7333,Slovakia,SK,Trnavský,,15726,15726
Kysucké Nové Mesto,49.3000,18.7833,Slovakia,SK,Žilinský,minor,15132,15132
Galanta,48.1914,17.7308,Slovakia,SK,Trnavský,minor,15029,15029
Skalica,48.8436,17.2264,Slovakia,SK,Trnavský,minor,14967,14967
Levoča,49.0228,20.5906,Slovakia,SK,Prešovský,minor,14803,14803
Detva,48.5572,19.4208,Slovakia,SK,Banskobystrický,minor,14751,14751
Šamorín,48.0267,17.3117,Slovakia,SK,Trnavský,,13324,13324
Sabinov,49.1000,21.1000,Slovakia,SK,Prešovský,minor,12700,12700
Revúca,48.6833,20.1167,Slovakia,SK,Banskobystrický,minor,12249,12249
Veľký Krtíš,48.2150,19.3381,Slovakia,SK,Banskobystrický,minor,12115,12115
Myjava,48.7578,17.5686,Slovakia,SK,Nitriansky,minor,11708,11708
Zlaté Moravce,48.3781,18.3964,Slovakia,SK,Nitriansky,minor,11583,11583
Stupava,48.2833,17.0333,Slovakia,SK,Bratislavský,,11471,11471
Bytča,49.2228,18.5581,Slovakia,SK,Žilinský,minor,11362,11362
Moldava nad Bodvou,48.6156,20.9992,Slovakia,SK,Košický,,11260,11260
Holíč,48.8119,17.1628,Slovakia,SK,Trnavský,,11171,11171
Nová Dubnica,48.9333,18.1500,Slovakia,SK,Nitriansky,,11134,11134
Svidník,49.3056,21.5678,Slovakia,SK,Prešovský,minor,11096,11096
Fiľakovo,48.2719,19.8286,Slovakia,SK,Banskobystrický,,10654,10654
Stropkov,49.2050,21.6514,Slovakia,SK,Prešovský,minor,10654,10654
Kolárovo,47.9153,17.9972,Slovakia,SK,Nitriansky,,10546,10546
Štúrovo,47.7992,18.7181,Slovakia,SK,Nitriansky,,10524,10524
Banská Štiavnica,48.4586,18.8931,Slovakia,SK,Banskobystrický,minor,10097,10097
Šurany,48.0833,18.1833,Slovakia,SK,Nitriansky,,9878,9878
Tvrdošín,49.3369,19.5503,Slovakia,SK,Žilinský,minor,9195,9195
Veľké Kapušany,48.5500,22.0833,Slovakia,SK,Košický,,9004,9004
Modra,48.3331,17.3069,Slovakia,SK,Bratislavský,,8976,8976
Stará Turá,48.7772,17.6956,Slovakia,SK,Nitriansky,,8932,8932
Krompachy,48.9167,20.8744,Slovakia,SK,Košický,,8828,8828
Veľký Meder,47.8500,17.7667,Slovakia,SK,Trnavský,,8828,8828
Smižany,48.9584,20.5177,Slovakia,SK,Košický,,8698,8698
Vráble,48.2500,18.3167,Slovakia,SK,Nitriansky,,8656,8656
Sečovce,48.7000,21.6500,Slovakia,SK,Košický,,8441,8441
Krupina,48.3500,19.0669,Slovakia,SK,Banskobystrický,minor,7890,7890
Námestovo,49.4100,19.4800,Slovakia,SK,Žilinský,minor,7876,7876
Vrútky,49.1117,18.9236,Slovakia,SK,Žilinský,,7760,7760
Svit,49.0583,20.2025,Slovakia,SK,Prešovský,,7624,7624
Turzovka,49.4050,18.6253,Slovakia,SK,Žilinský,,7559,7559
Hriňová,48.5667,19.5167,Slovakia,SK,Banskobystrický,,7535,7535
Liptovský Hrádok,49.0394,19.7244,Slovakia,SK,Žilinský,,7528,7528
Kráľovský Chlmec,48.4233,21.9797,Slovakia,SK,Košický,,7505,7505
Hnúšťa,48.5736,19.9531,Slovakia,SK,Banskobystrický,,7490,7490
Hurbanovo,47.8761,18.1972,Slovakia,SK,Nitriansky,,7469,7469
Trstená,49.3667,19.6167,Slovakia,SK,Žilinský,,7368,7368
Nová Baňa,48.4267,18.6394,Slovakia,SK,Banskobystrický,,7364,7364
Šahy,48.0667,18.9667,Slovakia,SK,Nitriansky,,7321,7321
Bernolákovo,48.1992,17.3003,Slovakia,SK,Bratislavský,,7255,7255
Tornaľa,48.4167,20.3333,Slovakia,SK,Banskobystrický,,7252,7252
Želiezovce,48.0486,18.6603,Slovakia,SK,Nitriansky,,6859,6859
Krásno nad Kysucou,49.3978,18.8364,Slovakia,SK,Žilinský,,6783,6783
Spišská Belá,49.1858,20.4567,Slovakia,SK,Prešovský,,6657,6657
Jarovnice,49.0500,21.0667,Slovakia,SK,Prešovský,,6643,6643
Medzilaborce,49.2717,21.9042,Slovakia,SK,Prešovský,minor,6612,6612
Lipany,49.1528,20.9619,Slovakia,SK,Prešovský,,6484,6484
Turčianske Teplice,48.8589,18.8636,Slovakia,SK,Žilinský,minor,6390,6390
Ivanka pri Dunaji,48.1833,17.2667,Slovakia,SK,Bratislavský,,6384,6384
Nemšová,48.9669,18.1169,Slovakia,SK,Nitriansky,,6368,6368
Žarnovica,48.4833,18.7167,Slovakia,SK,Banskobystrický,minor,6284,6284
Sobrance,48.7460,22.1790,Slovakia,SK,Košický,minor,6170,6170
Gelnica,48.8550,20.9397,Slovakia,SK,Košický,minor,6099,6099
Beluša,49.0653,18.3278,Slovakia,SK,Nitriansky,,5925,5925
Vrbové,48.6208,17.7225,Slovakia,SK,Trnavský,,5907,5907
Čaňa,48.6125,21.3244,Slovakia,SK,Košický,,5882,5882
Rajec,49.0833,18.6333,Slovakia,SK,Žilinský,,5816,5816
Oščadnica,49.4375,18.8857,Slovakia,SK,Žilinský,,5701,5701
Dobšiná,48.8206,20.3675,Slovakia,SK,Košický,,5696,5696
Poltár,48.4306,19.7975,Slovakia,SK,Banskobystrický,minor,5693,5693
Chorvátský Grob,48.2275,17.2908,Slovakia,SK,Bratislavský,,5692,5692
Svätý Jur,48.2519,17.2156,Slovakia,SK,Bratislavský,,5655,5655
Raková,49.4430,18.7345,Slovakia,SK,Žilinský,,5507,5507
Ilava,48.9994,18.2361,Slovakia,SK,Nitriansky,minor,5485,5485
Zákamenné,49.3897,19.3025,Slovakia,SK,Žilinský,,5442,5442
Veľký Šariš,49.0383,21.1917,Slovakia,SK,Prešovský,,5404,5404
Gabčíkovo,47.8921,17.5788,Slovakia,SK,Trnavský,,5391,5391
Kremnica,48.7044,18.9183,Slovakia,SK,Banskobystrický,,5358,5358
Sládkovičovo,48.2000,17.6500,Slovakia,SK,Trnavský,,5281,5281
Lendak,49.2442,20.3556,Slovakia,SK,Prešovský,,5269,5269
Skalité,49.4972,18.8983,Slovakia,SK,Žilinský,,5248,5248
Tvrdošovce,48.1000,18.0667,Slovakia,SK,Nitriansky,,5156,5156
Gbely,48.7175,17.1150,Slovakia,SK,Trnavský,,5155,5155
Čierny Balog,48.7500,19.6667,Slovakia,SK,Banskobystrický,,5132,5132
Nesvady,47.9275,18.1269,Slovakia,SK,Nitriansky,,5094,5094
Dvory nad Žitavou,47.9933,18.2642,Slovakia,SK,Nitriansky,,5084,5084
Rabča,49.4833,19.4833,Slovakia,SK,Žilinský,,5006,5006
Sliač,48.6256,19.1519,Slovakia,SK,Banskobystrický,,4980,4980
Bojnice,48.7822,18.5861,Slovakia,SK,Nitriansky,,4934,4934
Veľké Čaníkovce,48.3017,17.3456,Slovakia,SK,Bratislavský,,4910,4910
Veľká Lomnica,49.1114,20.3606,Slovakia,SK,Prešovský,,4890,4890
Brezová pod Bradlom,48.6653,17.5372,Slovakia,SK,Nitriansky,,4871,4871
Sučany,49.1000,18.9917,Slovakia,SK,Žilinský,,4710,4710
Pavlovce nad Uhom,48.6125,22.0667,Slovakia,SK,Košický,,4597,4597
Veľké Úľany,48.1642,17.5746,Slovakia,SK,Trnavský,,4523,4523
Rudňany,48.8833,20.6833,Slovakia,SK,Košický,,4514,4514
Valaliky,48.6425,21.2917,Slovakia,SK,Košický,,4473,4473
Markušovce,48.9156,20.6261,Slovakia,SK,Košický,,4469,4469
Čierne,49.4922,18.8225,Slovakia,SK,Žilinský,,4402,4402
Strážske,48.8667,21.8167,Slovakia,SK,Košický,,4334,4334
